Country_Name,RE_Inexpensive_Meal,RE_Meal_2Ppl,RE_Combo_Meal,RE_Domestic_Beer,RE_Imported_Beer,RE_Cappuccino,RE_Coke/Pepsi,RE_Water,MK_Milk,MK_White_Bread,MK_Rice,MK_Eggs,MK_Cheese,MK_Chicken_Breasts,MK_Red_Meat,MK_Apples,MK_Banana,MK_Oranges,MK_Tomato,MK_Potato,MK_Onion,MK_Lettuce,MK_Water,MK_Wine,MK_Domestic_Beer,MK_Imported_Beer,MK_Cigarettes_Pack,TR_Ticket,TR_Monthly_Pass,TR_Taxi_Start,TR_Taxi_1km,TR_Taxi_1h,TR_Gasoline,TR_VW_Golf,TR_TY_Corolla,UT_Basic_85m2,UT_Prepaid_Mobile,UT_Internet,SL_Fitness_Club,SL_Tennis,SL_Cinema,CH_Preschool,CH_International_School,CS_Jeans,CS_Summer_Dress,CS_Running_Shoes,CS_Leather_Shoes,RM_Apartment_1Centre,RM_Apartment_1Outside,RM_Apartment_3Centre,RM_Apartment_3Outside,BA_PriceM2_Centre,BA_PriceM2_Outside,SF_Average_Salary,SF_Mortgage_%Yearly
Russia,8.04,32.15,4.82,1.19,2.25,1.98,0.77,0.49,0.90,0.51,1.01,1.11,7.22,4.02,7.20,1.32,1.00,1.27,1.92,0.49,0.44,0.89,0.59,6.43,0.93,1.81,1.93,0.51,28.94,1.59,0.19,4.82,0.64,"16,952.01","18,048.20",109.42,0.02,7.41,35.16,16.20,5.63,315.30,"6,968.36",76.05,42.04,82.75,101.59,477.39,335.60,844.84,562.61,"1,633.73","1,113.52",593.86,11.54
Rwanda,2.90,25.55,5.81,1.16,1.74,2.10,0.60,0.40,0.72,1.53,1.14,1.38,4.45,6.16,2.61,1.97,0.93,0.93,0.77,0.34,0.70,0.58,0.70,13.94,0.91,1.26,1.34,0.35,17.42,5.81,1.74,5.81,1.15,"11,614.40","17,421.60",41.81,0.07,90.59,34.84,4.26,5.73,131.63,958.19,26.57,28.07,40.65,46.46,290.36,159.70,788.12,458.77,"13,859.85","10,452.96",282.18,18.83
Saint Kitts And Nevis,9.25,74.00,8.70,1.85,2.96,4.44,1.48,1.55,3.70,3.57,2.22,1.98,3.89,3.56,5.55,,3.50,6.61,2.20,2.20,2.20,3.70,1.85,15.73,1.48,2.50,3.70,,,12.00,1.85,,4.10,,,190.53,0.37,60.25,74.00,,6.66,,,,60.00,,,"1,200.00","1,000.00",,"1,800.00",,,"1,221.07",
Saint Lucia,4.63,29.60,9.25,1.85,2.96,3.89,0.97,0.74,2.18,0.92,1.54,2.78,6.94,9.76,11.35,6.91,1.04,2.41,4.07,1.71,1.00,1.85,1.03,11.10,1.67,2.96,2.59,0.93,55.50,7.40,,23.13,1.23,"21,276.20",,119.00,0.22,60.54,35.77,,9.07,92.51,,50.57,37.00,101.39,111.93,364.01,277.52,715.37,530.36,,,"1,332.08",5.88
Samoa,4.47,31.09,6.22,1.28,1.94,3.89,0.87,0.58,1.57,0.58,1.38,2.72,3.11,,,1.85,0.97,2.14,3.50,0.97,1.36,1.94,1.30,10.49,1.55,2.33,3.50,0.97,,1.55,1.58,15.55,0.94,"27,981.45","27,981.45",400.78,,58.29,38.86,,,174.88,,,,136.02,,777.26,320.62,"1,525.38",,"2,160.23",,,
Saudi Arabia,5.33,21.32,5.86,1.07,1.33,2.74,0.55,0.24,1.20,0.59,1.79,1.89,5.82,4.83,10.25,1.86,1.44,1.46,1.47,1.01,0.95,1.09,0.54,5.06,1.08,1.01,6.40,0.80,46.20,2.67,1.33,8.00,0.31,"18,657.71","17,359.12",50.63,0.12,58.01,79.25,32.10,15.99,349.20,"5,899.62",43.18,48.78,81.56,71.92,373.85,285.42,690.41,515.69,"1,083.42",778.29,"1,718.22",3.74
Senegal,5.33,26.66,6.66,1.78,2.67,1.93,0.72,0.50,1.85,0.36,0.73,2.13,22.81,5.03,5.24,2.01,1.40,2.21,1.30,0.98,0.65,1.39,0.76,7.11,0.76,2.10,1.16,0.31,17.77,1.78,1.78,5.33,1.21,"15,993.21","18,362.57",109.29,0.24,58.64,42.65,8.89,8.89,111.06,"3,305.26",26.66,33.32,71.08,44.43,609.26,268.03,"1,717.79",658.98,"9,615.96","9,185.34",162.39,7.25
Serbia,4.93,19.72,4.93,1.48,1.78,1.25,1.22,0.76,0.89,0.43,1.20,1.42,4.84,4.97,6.60,0.81,1.27,1.14,0.98,0.48,0.46,0.42,0.47,3.94,0.62,0.94,2.86,0.88,29.59,1.48,0.64,5.83,1.46,"19,723.87","19,486.10",148.43,0.12,20.78,24.65,8.65,4.44,243.83,"8,543.80",64.27,31.48,79.08,89.65,270.94,174.65,488.61,309.22,"1,904.01","1,135.20",411.30,4.08
Seychelles,18.58,74.34,6.88,4.46,3.35,4.25,1.49,1.15,1.75,1.47,2.34,2.60,14.50,7.53,15.31,2.97,2.88,1.61,5.35,1.71,1.31,1.00,1.34,14.87,1.53,3.16,14.05,0.37,11.15,7.43,2.97,33.45,1.39,"26,017.47","31,220.96",33.45,0.28,84.87,52.03,5.95,5.58,234.47,"2,621.57",58.11,50.18,64.98,36.92,828.31,669.02,"1,746.89","1,471.85",854.86,"4,608.81",547.11,8.25
Singapore,11.18,44.73,5.93,7.45,7.45,3.84,1.28,0.97,2.35,1.74,2.10,2.08,24.49,6.64,19.22,3.41,2.06,3.09,2.01,2.04,1.76,1.75,1.45,21.62,4.00,4.45,9.84,1.34,74.54,2.61,0.41,13.42,1.66,"89,452.17","80,144.70",110.29,0.12,34.99,102.82,10.01,8.95,710.81,"20,089.47",71.29,39.23,93.30,96.94,"2,111.06","1,382.93","3,759.48","2,285.80","17,872.83","9,402.08","3,069.89",2.21
Sint Maarten,15.00,80.00,5.25,3.00,4.50,3.00,2.50,2.17,1.79,2.20,4.00,4.00,,,12.00,8.00,4.89,6.00,,,,3.00,1.75,12.00,1.00,1.50,3.00,1.50,,15.00,,,1.08,"25,000.00","21,333.33",126.67,0.28,100.00,77.50,13.50,,450.00,"12,600.00",50.00,,92.50,133.33,"1,066.67",900.00,"2,350.00","1,700.00","12,000.00","9,843.76","1,550.00",6.50
Slovakia,5.83,25.64,5.83,1.40,1.75,1.85,1.44,1.08,0.82,1.03,1.35,2.07,7.96,5.61,8.68,1.56,1.66,1.61,2.05,0.90,0.82,1.19,0.73,4.66,0.90,1.31,4.20,0.82,30.31,3.26,0.82,15.15,1.49,"17,484.76","18,441.43",210.68,0.10,18.37,29.75,9.98,7.58,411.97,"9,836.80",68.82,34.55,72.72,86.31,549.33,429.24,875.72,656.05,"1,997.20","1,502.16",898.34,1.95
Slovenia,8.16,34.97,5.83,2.80,3.50,1.59,2.26,1.52,0.99,1.20,1.78,2.31,10.32,7.58,10.12,1.43,1.43,1.65,2.00,0.77,1.08,1.22,0.68,5.83,1.22,1.74,4.66,1.40,43.13,1.17,1.04,16.20,1.49,"20,981.71","20,832.33",209.91,0.06,33.55,45.81,13.32,6.99,491.08,"11,559.37",86.60,36.53,89.10,108.99,459.33,358.44,782.50,614.34,"2,461.31","1,869.84","1,198.05",3.48
Solomon Islands,10.06,63.00,10.78,2.54,,3.68,,,2.54,1.77,,4.75,,20.28,,,,,,,1.90,1.90,1.27,16.48,1.90,,,0.38,,7.45,1.27,,1.31,,"12,676.50",,,887.36,126.77,,,,,,,,,755.45,540.46,"2,218.39","2,535.30",,,,
Somalia,2.50,15.00,5.00,3.00,5.00,0.93,0.68,0.52,1.27,0.76,0.93,2.13,5.42,4.54,3.83,4.20,1.62,2.75,1.54,0.98,1.11,0.72,0.62,70.00,1.00,1.50,1.00,0.50,20.00,3.00,3.00,10.00,0.82,"15,000.00","13,000.00",63.75,0.07,27.50,16.89,5.00,1.00,51.67,"1,150.00",19.33,19.17,25.00,26.86,80.00,53.12,234.00,163.33,"19,400.00","11,500.00",303.33,6.00
South Africa,9.60,35.99,4.40,2.00,2.56,1.93,0.98,0.77,1.08,1.00,1.57,2.04,7.44,5.26,6.99,1.65,1.37,1.63,1.44,1.31,1.19,1.09,1.18,4.80,1.42,2.17,3.20,1.20,39.99,1.20,0.80,4.00,1.10,"22,394.55","21,717.03",85.21,0.14,71.21,36.57,9.01,6.00,200.38,"4,298.74",57.54,36.38,90.54,88.41,479.26,398.58,965.15,798.26,"1,060.81",861.29,"1,295.54",10.59
South Korea,6.50,37.11,5.57,2.78,4.64,4.18,1.49,0.74,2.26,2.61,3.79,3.00,15.33,8.91,22.29,6.41,3.98,5.62,5.54,3.41,2.81,2.22,1.17,15.31,2.03,3.39,4.18,1.16,51.03,2.78,0.93,9.80,1.42,"29,691.49","25,730.04",155.05,0.13,25.17,60.41,14.85,9.28,467.16,"20,052.67",67.40,41.56,91.17,118.70,607.37,392.94,"1,605.97","1,001.81","9,220.15","5,494.48","2,408.43",3.60
Spain,11.66,40.80,8.16,2.33,2.91,1.79,1.96,1.31,0.90,1.09,1.11,1.91,10.28,6.66,11.79,1.84,1.69,1.43,1.67,1.14,1.18,1.05,0.66,5.83,0.89,1.42,5.83,1.63,52.45,3.67,1.22,23.31,1.41,"20,981.71","21,655.50",131.80,0.19,45.64,42.83,14.19,9.33,390.34,"7,890.09",80.95,31.19,81.59,96.19,706.54,527.26,"1,140.72",816.64,"3,198.17","1,949.23","1,523.04",2.34
Sri Lanka,1.58,9.49,4.75,2.21,3.04,2.20,0.53,0.31,1.15,0.43,0.59,1.26,8.91,3.94,4.84,2.33,0.97,1.86,1.05,0.97,0.91,0.89,0.61,11.39,1.80,2.76,6.33,0.13,6.33,0.32,0.28,0.76,0.77,"34,801.32","40,061.06",52.02,0.02,14.66,17.24,7.53,3.48,39.55,"2,686.32",31.00,21.18,48.68,32.82,247.32,129.71,621.33,297.86,"1,704.51","1,113.36",271.42,14.07
Sudan,2.78,8.33,2.78,0.44,1.50,1.17,0.30,0.17,1.04,0.57,1.29,1.57,4.65,4.18,5.45,3.26,0.56,1.65,1.44,1.26,0.43,0.53,0.35,2.78,0.30,0.65,1.81,0.11,24.99,1.67,0.35,4.44,0.31,"22,216.05","26,936.96",19.90,0.01,16.02,20.92,3.89,2.50,44.89,"1,846.71",15.24,18.65,26.66,36.80,252.46,152.43,472.09,277.70,854.21,566.51,206.29,13.75
Suriname,3.35,30.13,4.69,1.34,1.34,1.31,0.64,0.36,1.08,1.10,1.07,1.81,1.67,4.65,6.56,2.75,1.65,2.68,3.24,0.67,0.52,1.34,0.67,8.03,1.62,1.39,4.02,0.25,1.21,1.34,1.34,4.69,0.89,"4,686.66","4,017.14",61.60,0.12,32.58,15.40,7.36,3.68,89.27,"7,264.33",46.03,18.97,75.32,93.73,162.92,129.89,343.69,355.74,172.74,611.50,220.94,12.70
Swaziland,4.40,23.99,4.36,1.20,1.60,1.40,0.72,0.49,1.12,0.59,1.52,1.53,9.60,2.40,6.20,1.20,1.33,1.28,1.40,1.40,1.57,0.56,0.81,5.60,1.08,1.39,2.84,0.48,52.22,4.00,3.00,14.89,0.96,"19,060.53","22,083.49",59.68,0.14,426.31,40.06,10.70,3.28,191.95,"6,398.44",56.12,29.89,66.78,97.31,266.60,206.32,588.50,500.91,399.90,239.94,719.82,11.62
Sweden,11.40,68.43,8.55,6.84,6.79,3.91,2.10,1.87,1.20,2.33,2.73,3.02,9.52,10.34,15.83,2.64,2.41,2.55,3.09,1.09,1.19,1.96,1.48,9.12,1.85,1.89,6.84,3.42,90.67,5.59,1.71,58.74,1.61,"22,809.96","22,071.84",73.75,0.09,31.87,37.68,23.08,14.26,470.44,"9,978.07",97.08,40.19,99.78,135.46,878.16,602.67,"1,374.20","1,020.18","6,378.09","3,802.52","2,483.89",2.53
Switzerland,24.25,101.03,14.14,7.07,6.06,4.62,3.99,3.15,1.53,2.68,2.70,5.50,23.06,24.12,48.19,3.82,2.94,3.36,3.91,2.68,2.43,2.26,1.24,12.12,1.89,2.26,8.28,3.44,75.77,6.57,3.84,70.72,1.55,"25,258.01","25,414.95",180.64,0.36,59.34,89.57,36.30,18.19,"2,212.26","24,353.77",112.09,55.23,119.87,152.43,"1,453.95","1,162.58","2,670.44","2,209.24","11,668.44","8,401.16","4,734.69",1.47
Syria,4.00,15.00,3.80,1.60,2.91,1.11,0.58,0.31,0.57,0.30,1.04,1.27,3.18,3.73,7.90,0.70,1.38,0.45,0.47,0.45,0.43,0.35,0.36,5.00,1.15,1.70,2.96,0.10,14.00,0.39,0.69,3.00,0.56,"20,000.00","22,500.00",29.81,0.04,46.56,12.32,5.74,4.83,30.77,739.45,22.93,34.55,69.89,34.36,167.59,100.95,305.37,191.25,"1,462.10",587.32,75.76,7.07
Taiwan,3.34,23.37,4.01,1.67,2.00,2.39,0.88,0.64,2.90,1.66,3.32,2.05,19.78,7.24,17.19,4.24,2.11,2.33,3.36,2.56,2.09,1.45,1.19,15.02,1.51,2.02,3.34,0.67,42.73,2.50,0.83,7.51,0.91,"32,712.46","24,026.97",72.26,0.21,26.36,45.98,12.57,10.01,496.58,"16,218.78",76.39,39.81,85.70,113.89,435.51,265.53,959.16,678.89,"7,623.17","3,933.61","1,906.43",2.02
Tajikistan,2.78,11.13,3.00,1.22,1.11,1.39,0.45,0.26,0.72,0.33,0.95,1.10,4.34,2.95,3.84,0.74,1.58,0.91,0.45,0.36,0.28,0.45,0.40,8.34,0.70,1.15,1.06,0.22,2.78,1.11,0.33,1.67,0.64,"16,631.25","12,349.14",21.14,0.06,35.60,27.81,7.05,4.45,54.09,"1,870.31",20.86,11.68,29.67,25.03,221.18,180.23,511.77,327.09,699.41,693.48,124.40,24.00
Tanzania,3.51,26.29,6.57,1.10,1.75,1.81,0.48,0.30,1.08,0.54,1.08,2.17,8.05,5.18,4.32,2.90,0.88,1.00,0.95,0.77,0.88,0.58,0.61,8.76,1.09,1.51,1.50,0.18,26.29,2.19,1.31,3.94,0.93,"27,604.94","7,263.17",78.75,0.14,66.17,73.54,12.24,4.38,378.44,"15,554.67",34.47,34.35,50.54,55.27,309.80,232.38,"1,037.57",862.21,"1,647.59",993.19,328.94,18.30
Thailand,1.88,18.81,5.64,2.19,3.14,1.83,0.63,0.32,1.65,1.26,1.17,1.61,16.91,2.87,10.47,2.82,1.15,2.23,1.38,1.37,1.03,0.94,0.50,15.68,1.69,2.86,3.76,0.78,31.35,1.10,0.31,3.76,0.91,"26,647.86","26,137.17",72.51,0.05,22.21,55.99,9.24,6.27,363.22,"11,644.77",56.95,32.74,97.85,82.22,463.90,248.65,"1,234.09",624.84,"3,324.02","1,790.66",612.66,5.76
Timor-Leste,3.00,40.00,7.00,4.50,3.25,2.75,1.83,0.77,2.18,1.25,1.70,1.68,5.00,6.50,8.00,4.33,1.17,4.50,2.00,2.00,1.75,1.40,0.50,9.50,2.00,1.75,1.65,0.25,,2.00,2.00,,0.93,,,95.00,0.11,15.00,59.00,4.00,6.50,"1,666.67","14,666.67",40.00,30.00,106.67,,500.00,466.67,"2,666.67","1,400.00",,,250.00,
Togo,3.55,21.32,4.44,2.13,1.95,3.38,1.24,0.89,2.01,0.92,1.90,2.31,9.48,8.89,8.18,2.67,0.98,1.24,1.78,1.66,2.36,0.53,0.74,8.89,0.76,1.69,1.22,0.49,,0.31,0.14,6.66,1.29,,"40,871.53",85.89,0.14,284.32,38.50,13.33,4.44,62.20,"7,194.44",2.67,44.43,29.32,22.21,174.74,177.70,521.26,92.62,444.26,35.54,266.55,
Tonga,4.39,35.09,6.58,2.85,3.51,2.81,1.25,0.82,1.47,0.62,1.83,3.25,11.18,4.23,7.81,2.19,2.37,2.25,1.67,1.95,1.43,1.37,0.95,8.77,2.24,3.51,5.48,0.44,28.60,1.75,1.21,2.19,1.18,"6,578.95","6,228.07",75.19,0.09,83.22,21.93,5.48,0.44,32.16,"1,631.58",33.99,17.54,74.56,87.72,429.82,324.56,570.18,416.67,"1,043.44",802.83,432.63,15.67
Trinidad And Tobago,6.67,51.91,5.93,1.48,2.22,2.49,0.90,0.73,1.74,1.85,1.97,3.29,6.15,5.66,6.42,3.43,2.06,2.09,3.54,0.95,1.11,1.31,1.13,14.83,1.57,2.31,4.45,0.89,29.34,0.74,0.74,0.89,0.58,"33,372.14","29,656.32",60.46,0.16,35.79,47.44,7.64,7.42,219.56,"3,114.73",60.26,39.50,89.76,80.59,503.39,382.67,983.31,721.33,"1,846.70","1,891.74",852.84,6.51
Tunisia,1.96,13.71,3.13,1.18,1.18,0.70,0.44,0.21,0.45,0.12,0.63,0.78,6.36,3.07,7.51,1.27,1.32,0.62,0.51,0.43,0.43,0.30,0.25,3.92,0.72,0.81,2.35,0.20,11.16,0.18,0.29,5.09,0.68,"19,978.11","19,795.21",37.30,0.07,17.52,20.41,6.67,3.13,67.77,"1,958.95",41.57,40.17,68.67,51.38,172.54,121.69,300.58,224.23,863.93,561.50,262.76,6.58
Turkey,4.25,14.87,3.40,2.55,2.97,1.74,0.65,0.22,0.63,0.38,1.29,1.47,4.43,3.00,10.79,0.76,1.52,0.65,0.73,0.43,0.38,0.49,0.33,6.37,1.61,2.05,2.76,0.55,39.29,0.85,0.61,4.46,1.16,"21,240.00","19,552.08",63.54,0.13,15.58,26.49,11.92,3.82,285.36,"6,422.68",34.48,22.75,54.62,45.92,267.36,162.20,476.32,290.01,"1,153.68",592.50,485.99,13.36
Turkmenistan,11.05,20.00,6.00,2.21,3.42,2.24,1.21,0.72,0.93,0.37,0.93,1.80,4.96,5.70,5.82,1.43,1.25,1.25,0.75,0.75,0.66,0.68,0.54,12.55,2.00,2.81,14.25,0.09,5.71,1.00,0.53,6.51,0.23,"16,000.00","12,000.00",3.50,0.28,271.43,39.68,5.35,5.50,100.00,"29,708.00",100.00,85.00,192.86,92.86,375.82,250.00,566.67,500.00,"2,000.00","1,000.00",275.00,
Turks And Caicos Islands,24.00,70.00,12.00,4.75,5.35,4.50,2.00,1.50,1.59,5.74,3.20,2.75,36.02,9.06,14.02,4.00,1.98,6.00,7.00,5.00,5.00,3.00,2.31,20.00,2.30,3.50,5.25,5.00,,5.00,,80.00,1.55,"27,000.00",,256.25,0.30,95.00,135.00,68.00,,900.00,"7,000.00",80.00,70.00,160.00,120.00,950.00,"1,200.00","2,750.00","2,150.00","5,145.48","3,200.00","1,900.00",6.00
Uganda,2.94,14.72,6.69,1.07,1.61,1.96,0.40,0.29,0.58,0.89,1.13,1.26,3.91,4.65,2.88,2.26,0.95,1.34,0.82,0.58,0.74,0.78,0.51,6.69,0.96,1.42,1.74,0.54,30.60,2.68,0.54,3.34,1.00,"8,027.29","11,327.40",40.14,0.07,78.46,40.81,5.62,5.35,109.71,"3,344.71",19.06,18.95,37.09,44.60,209.20,138.65,533.07,293.85,"3,043.18",,209.04,21.40
Ukraine,3.83,15.32,3.06,0.77,1.20,0.88,0.44,0.32,0.74,0.36,0.93,1.05,5.42,3.03,4.30,0.73,1.14,1.17,1.19,0.30,0.29,0.73,0.40,3.06,0.56,1.08,1.15,0.19,7.66,1.34,0.21,2.30,1.07,"21,059.48","20,223.04",92.41,0.03,4.29,15.19,7.66,3.06,161.68,"4,733.69",57.48,40.35,87.45,96.16,320.41,198.02,576.12,352.69,"1,067.62",604.86,270.77,20.75
United Arab Emirates,8.17,40.84,6.81,10.89,10.89,4.55,0.65,0.36,1.51,1.21,2.06,2.62,8.46,6.44,10.30,2.10,1.68,1.82,1.64,1.05,0.85,1.69,0.57,19.06,6.47,6.04,5.45,1.36,59.54,2.72,0.54,8.17,0.57,"21,780.48","17,851.66",162.46,0.14,102.18,89.61,27.57,10.35,609.22,"10,582.90",63.07,51.02,86.90,87.70,"1,618.96","1,122.86","3,198.23","2,288.75","3,774.14","2,565.41","3,117.72",4.28
United Kingdom,15.97,59.89,6.65,4.66,4.66,3.40,1.57,1.17,1.18,1.27,1.71,2.48,7.18,7.76,10.22,2.41,1.33,2.17,2.36,1.53,1.24,0.96,1.32,9.32,2.19,2.41,12.51,3.19,79.85,3.99,2.13,26.62,1.57,"23,954.49","24,053.56",188.67,0.09,36.67,41.11,12.49,13.31,"1,121.42","17,137.57",75.40,38.76,79.60,81.89,995.18,794.24,"1,580.18","1,231.50","4,893.80","3,539.92","2,392.45",3.25
United States,13.00,50.00,7.00,4.00,5.00,3.95,1.76,1.41,0.84,2.56,3.93,2.40,10.68,8.55,11.46,4.32,1.48,3.89,3.93,2.42,2.48,1.52,1.77,12.00,2.29,3.25,7.00,2.25,69.00,3.00,1.62,27.25,0.66,"21,500.00","20,239.87",147.90,0.10,59.81,36.17,15.09,11.50,848.71,"17,918.21",41.72,34.33,73.68,92.67,"1,207.21",952.66,"1,944.78","1,516.87","2,324.52","1,682.94","2,715.61",4.24
Uruguay,12.79,43.98,8.87,2.56,2.72,2.92,1.26,0.94,0.83,1.87,1.32,2.43,9.66,8.05,8.66,1.91,2.05,1.14,2.04,1.46,1.42,1.05,1.26,6.40,1.91,2.44,4.16,1.06,43.62,1.24,0.69,10.17,1.52,"28,303.95","28,976.31",115.09,0.23,34.54,50.44,18.44,9.27,269.54,"6,760.48",86.78,52.01,108.68,116.36,519.69,404.03,916.81,772.41,"2,442.80","2,019.04",736.11,8.71
Us Virgin Islands,15.00,60.00,8.00,4.00,5.00,4.43,1.96,1.70,1.99,4.79,3.12,3.80,10.88,11.67,15.14,5.63,2.44,4.41,4.76,3.77,3.03,1.71,2.14,11.00,2.80,3.80,5.00,2.00,30.00,8.50,2.33,,0.83,,"30,000.00",271.59,0.10,83.49,71.67,,10.00,,"10,000.00",40.00,43.33,72.50,87.62,"1,193.75","1,075.00","2,268.18","2,509.38","6,612.86","2,401.28","2,350.00",4.49
Uzbekistan,4.64,15.00,2.50,1.00,2.00,1.30,0.71,0.26,0.66,0.18,0.67,1.08,4.08,3.06,5.45,0.91,2.19,2.60,0.69,0.41,0.30,0.28,0.25,3.60,0.61,1.90,2.00,0.18,13.00,1.00,0.19,2.50,0.51,"12,000.00","15,666.67",74.66,0.03,53.33,26.51,6.33,4.00,641.67,"10,166.67",71.38,65.00,122.00,150.00,303.00,166.11,687.50,336.25,991.25,564.29,174.25,16.80
Vanuatu,9.06,65.15,8.84,4.75,5.82,3.26,2.56,2.09,1.95,2.84,1.81,4.23,18.15,18.61,8.28,6.51,7.45,7.45,11.17,2.54,2.54,1.30,0.98,13.96,2.26,2.65,8.52,1.18,,,,,1.56,,,198.93,0.47,102.37,,,7.45,,"4,653.33",,,,,837.60,698.00,"1,721.73","1,209.87",,,943.80,
Venezuela,3.00,27.00,3.00,0.70,2.00,0.74,0.68,0.31,1.01,0.93,1.42,1.49,2.97,3.21,3.70,3.63,1.11,0.91,1.14,1.14,1.45,0.73,0.76,8.00,0.80,2.39,1.55,0.09,3.29,1.00,1.00,4.00,0.00,"23,500.00","34,333.33",12.32,0.11,4.39,7.11,4.56,1.50,17.71,"5,099.67",48.80,49.33,93.80,81.32,208.41,199.09,357.94,287.50,"1,077.59","1,025.47",33.37,20.90
Vietnam,1.76,17.57,4.17,0.88,1.54,1.71,0.50,0.30,1.47,0.66,0.76,1.31,10.75,3.50,10.61,2.56,0.96,1.75,0.76,1.02,0.80,0.42,0.49,10.98,0.62,1.38,1.10,0.31,6.59,0.48,0.53,1.32,0.84,"46,417.79","36,208.19",45.96,0.07,10.33,22.41,7.81,3.51,158.70,"10,106.33",33.30,28.60,82.24,73.24,401.58,252.31,836.33,526.46,"2,290.18",931.86,394.44,8.65
Yemen,3.99,10.98,4.79,5.01,1.40,1.96,0.59,0.36,1.20,1.04,1.72,1.66,3.70,5.75,9.91,2.56,1.10,1.70,1.08,1.17,1.04,0.40,0.61,47.93,1.40,1.40,2.60,0.40,22.37,1.30,1.20,3.99,1.08,"12,781.77","20,432.54",48.45,0.07,39.48,42.61,7.32,10.01,113.57,"2,080.71",15.99,17.00,71.90,24.98,116.54,91.33,256.88,183.16,836.94,414.69,183.20,12.50
Zambia,4.83,27.03,3.86,1.16,1.45,1.99,0.68,0.43,1.22,0.85,2.01,1.31,9.07,4.39,5.98,1.76,0.85,2.80,0.83,0.63,1.05,0.99,0.71,7.24,0.76,1.25,1.93,0.48,28.96,2.17,1.79,4.83,1.18,"22,200.77","18,339.77",47.06,0.19,91.17,36.68,6.76,3.62,258.98,"4,900.26",44.56,26.64,55.06,68.90,387.56,270.27,931.01,600.39,,,739.62,22.66
Zimbabwe,5.00,40.00,5.00,1.25,2.00,2.58,0.78,0.66,1.42,0.95,1.30,2.02,11.49,5.25,8.40,2.18,1.35,1.56,1.63,1.47,1.65,1.09,1.33,6.50,1.14,1.53,2.00,0.50,30.00,3.00,1.00,5.00,1.36,"25,000.00","30,625.00",110.36,0.18,88.15,50.00,9.38,6.00,285.71,"7,550.00",27.74,25.28,58.33,67.78,313.00,249.41,629.41,527.78,"1,600.00","1,600.00",375.00,16.58
